ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.00901720,2009-05-14,USGS-09081000,"Stable, high stage",Routine sample,8.4,
nwisco.01.01101230,2011-03-31,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00801597,2008-04-22,USGS-09081000,Rising stage,Routine sample,8.4,
nwisco.01.01000918,2009-12-16,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00101841,2001-03-09,USGS-392110107011300,"Stable, low stage",Spring breakup,8.4,
nwisco.01.00400288,2003-10-23,USGS-09085000,"Stable, low stage",Drought,8.4,
nwisco.01.99601378,1996-03-21,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98102633,1981-07-22,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.99703574,1997-08-20,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00002246,2000-05-11,USGS-392110107011300,"Stable, high stage",Snowmelt,8.4,
nwisco.01.98002383,1980-03-17,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98002386,1980-04-01,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.99801038,1998-01-29,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00100286,2000-11-08,USGS-09081000,"Stable, low stage",Routine sample,8.4,
nwisco.01.00102239,2001-04-12,USGS-392110107011300,"Stable, low stage",Snowmelt,8.4,
nwisco.01.01205156,2012-09-27,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01201548,2012-04-10,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01600432,2015-12-16,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01400742,2014-02-13,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.01501400,2015-04-29,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01501656,2015-05-29,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01203699,2012-07-24,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01601543,2016-04-19,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01801215,2018-04-09,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00003239,2000-06-27,USGS-392110107011300,Falling stage,Snowmelt,8.5,
nwisco.01.00201670,2002-03-07,USGS-09085000,"Stable, low stage",Routine sample,8.5,
nwisco.01.00102240,2001-04-13,USGS-392110107011300,"Stable, low stage",Snowmelt,8.5,
nwisco.01.98102623,1981-05-15,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.00300090,2002-10-10,USGS-09085000,"Stable, low stage",Routine sample,8.5,
nwisco.01.00101512,2001-02-20,USGS-392110107011300,"Stable, low stage",Snowmelt,8.5,
nwisco.01.00400678,2003-12-10,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00100889,2001-01-23,USGS-392110107011300,"Stable, low stage",Under ice cover,8.5,
nwisco.01.00105744,2001-08-30,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00501399,2005-04-12,USGS-09081000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.00100602,2000-12-05,USGS-392110107011300,"Stable, low stage",Under ice cover,8.5,
nwisco.01.01001660,2010-04-14,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01100568,2010-11-16,USGS-09085000,"Stable, normal stage",Routine sample,8.5,
nwisco.01.01100762,2011-01-12,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01402319,2014-07-16,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01200697,2011-12-09,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01400054,2013-10-22,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01500230,2014-11-13,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00101226,2001-02-07,USGS-09081000,"Stable, low stage",Under ice cover,8.6,
nwisco.01.99900295,1998-10-20,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00100520,2000-11-22,USGS-392110107011300,"Stable, low stage",Under ice cover,8.6,
nwisco.01.00401635,2004-04-20,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00304229,2003-09-05,USGS-09085000,"Stable, low stage",Routine sample,8.6,
nwisco.01.97603401,1976-04-13,USGS-391239106501900,Not determined,Routine sample,8.6,
nwisco.01.00701103,2007-04-16,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00403988,2004-09-09,USGS-09085000,"Stable, low stage",Routine sample,8.6,
nwisco.01.00204206,2002-07-30,USGS-09085000,"Stable, low stage",Drought,8.6,
nwisco.01.00202579,2002-04-24,USGS-09081000,Rising stage,Snowmelt,8.6,
nwisco.01.00003997,2000-07-25,USGS-09081000,"Stable, low stage",Routine sample,8.6,
nwisco.01.00301060,2003-02-04,USGS-09085000,"Stable, low stage",Routine sample,8.6,
nwisco.01.98102615,1981-03-18,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.01903183,2019-09-25,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.99501565,1995-04-04,USGS-391531106525200,"Stable, normal stage",Routine sample,8.7,
nwisco.01.97001526,1970-07-28,USGS-09085000,Not determined,Routine sample,8.7,
nwisco.01.00701102,2007-04-16,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.97502342,1975-02-17,USGS-392946107182100,Not determined,Routine sample,8.7,
nwisco.01.00101203,2001-02-06,USGS-392110107011300,"Stable, low stage",Under ice cover,8.7,
nwisco.01.00102115,2001-04-04,USGS-09085000,Rising stage,Snowmelt,8.7,
nwisco.01.00002098,2000-04-24,USGS-09081000,"Stable, normal stage",Snowmelt,8.7,
nwisco.01.01802004,2018-06-21,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01604564,2016-09-26,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01800147,2017-11-06,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01900405,2018-12-19,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.02000891,2020-02-25,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01701017,2017-02-13,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01100567,2010-11-16,USGS-09081000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.00900334,2008-11-17,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01501401,2015-04-29,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01301085,2013-03-13,USGS-09081000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01600186,2015-10-26,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01105782,2011-09-28,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01301086,2013-03-13,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01600431,2015-12-16,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01201222,2012-02-14,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00800053,2007-10-10,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00100287,2000-11-08,USGS-09085000,"Stable, low stage",Routine sample,8.8,
nwisco.01.99901532,1999-04-20,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00601100,2006-04-13,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00600713,2006-02-15,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00001966,2000-04-12,USGS-392110107011300,"Stable, normal stage",Snowmelt,8.8,
nwisco.01.00700273,2006-11-07,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00104386,2001-07-17,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.97502283,1975-02-19,USGS-392158107020000,Not determined,Routine sample,8.8,
nwisco.01.00500537,2004-11-22,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01703855,2017-08-28,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01901162,2019-03-20,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.98102620,1981-04-24,USGS-09085000,Not determined,Routine sample,8.9,
nwisco.01.00001292,2000-02-16,USGS-392110107011300,"Stable, low stage",Routine sample,8.9,
nwisco.01.00001579,2000-03-09,USGS-392110107011300,"Stable, normal stage",Routine sample,8.9,
nwisco.01.99801433,1998-03-12,USGS-391531106525200,"Stable, low stage",Routine sample,8.9,
nwisco.01.00102116,2001-04-04,USGS-392110107011300,Rising stage,Snowmelt,8.9,
nwisco.01.01104184,2011-08-16,USGS-09085000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.01801149,2018-03-19,USGS-09085000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.00101506,2001-02-20,USGS-392110107011300,"Stable, low stage",Snowmelt,9.0,
nwisco.01.97502335,1975-02-17,USGS-392844107170900,Not determined,Routine sample,9.1,
nwisco.01.00007492,2000-03-27,USGS-392535107224600,Not applicable,Not applicable,5.0,
nwisco.01.00007489,2000-03-29,USGS-390835106485500,Not applicable,Not applicable,5.2,
nwisco.01.99406813,1994-04-20,USGS-392535107224600,Not applicable,Not applicable,5.2,
nwisco.01.00109627,2001-03-29,USGS-392535107224600,Not applicable,Not applicable,5.4,
nwisco.01.01701915,2017-03-24,USGS-392535107224600,Not applicable,Not applicable,5.6,
nwisco.01.00604816,2006-03-30,USGS-392535107224600,Not applicable,Not applicable,5.8,
nwisco.01.01504215,2015-03-27,USGS-392535107224600,Not applicable,Not applicable,5.8,
nwisco.01.01106131,2011-03-21,USGS-392535107224600,Not applicable,Not applicable,5.8,
nwisco.01.01601712,2016-04-01,USGS-392535107224600,Not applicable,Not applicable,6.4,
nwisco.01.00208503,2002-03-22,USGS-392535107224600,Not applicable,Not applicable,6.5,
nwisco.01.01801729,2018-03-23,USGS-392535107224600,Not applicable,Not applicable,6.5,
nwisco.01.99704221,1997-09-09,USGS-390421106533400,"Stable, normal stage",Routine sample,6.6,
nwisco.01.00906778,2009-04-02,USGS-392535107224600,Not applicable,Not applicable,6.7,
nwisco.01.99704223,1997-09-10,USGS-390810106463000,"Stable, normal stage",Routine sample,7.0,
nwisco.01.00300086,2002-10-08,USGS-09073300,"Stable, low stage",Routine sample,7.1,
nwisco.01.99800375,1997-10-22,USGS-09073300,"Stable, normal stage",Routine sample,7.6,
nwisco.01.99701139,1997-03-06,USGS-09073300,"Stable, normal stage",Routine sample,7.7,
nwisco.01.98301713,1983-07-29,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.00001222,2000-01-26,USGS-09073300,"Stable, low stage",Under ice cover,7.7,
nwisco.01.99801432,1998-03-12,USGS-09073400,"Stable, low stage",Routine sample,7.7,
nwisco.01.98403294,1984-04-20,USGS-09085000,"Stable, normal stage",Routine sample,7.7,
nwisco.01.99802437,1998-06-01,USGS-09081000,Rising stage,Snowmelt,7.7,
nwisco.01.98403272,1983-12-06,USGS-09085000,Not determined,Routine sample,7.7,
nwisco.01.98403309,1984-07-20,USGS-09085000,Falling stage,Routine sample,7.7,
nwisco.01.98403306,1984-06-29,USGS-09085000,"Stable, high stage",Snowmelt,7.7,
nwisco.01.98403304,1984-06-21,USGS-09085000,"Stable, high stage",Snowmelt,7.7,
nwisco.01.99900296,1998-10-21,USGS-09073300,"Stable, normal stage",Routine sample,7.8,
nwisco.01.00002103,2000-04-25,USGS-09073300,"Stable, normal stage",Snowmelt,7.8,
nwisco.01.98403279,1984-01-25,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.99701966,1997-05-23,USGS-09085000,Falling stage,Snowmelt,7.8,
nwisco.01.98403302,1984-06-05,USGS-09085000,"Stable, high stage",Snowmelt,7.8,
nwisco.01.98403303,1984-06-15,USGS-09085000,"Stable, high stage",Snowmelt,7.8,
nwisco.01.99901529,1999-04-20,USGS-09073300,"Stable, normal stage",Routine sample,7.8,
nwisco.01.98403312,1984-08-03,USGS-09085000,Falling stage,Routine sample,7.8,
nwisco.01.98301702,1983-05-12,USGS-09085000,Not determined,Routine sample,7.8,
nwisco.01.99803526,1998-08-19,USGS-09073300,"Stable, normal stage",Routine sample,7.8,
nwisco.01.00302335,2003-05-28,USGS-09073300,Rising stage,Snowmelt,7.8,
nwisco.01.00105741,2001-08-28,USGS-09073300,"Stable, normal stage",Routine sample,7.8,
nwisco.01.00103301,2001-05-30,USGS-09073300,Peak stage,Snowmelt,7.9,
nwisco.01.98403273,1983-12-15,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.98403301,1984-06-01,USGS-09085000,"Stable, high stage",Snowmelt,7.9,
nwisco.01.00002246,2000-05-11,USGS-392110107011300,"Stable, high stage",Snowmelt,7.9,
nwisco.01.00002812,2000-06-07,USGS-09081000,Falling stage,Snowmelt,7.9,
nwisco.01.98301710,1983-07-07,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.99903648,1999-08-18,USGS-09073300,"Stable, normal stage",Routine sample,7.9,
nwisco.01.98301715,1983-08-12,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.00302332,2003-05-27,USGS-09081000,Rising stage,Snowmelt,7.9,
nwisco.01.00002091,2000-04-24,USGS-09085000,"Stable, normal stage",Snowmelt,7.9,
nwisco.01.00002810,2000-06-06,USGS-09085000,Falling stage,Snowmelt,7.9,
nwisco.01.99802216,1998-05-11,USGS-09073300,"Stable, normal stage",Snowmelt,7.9,
nwisco.01.98403285,1984-02-24,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.98403275,1983-12-22,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.00103300,2001-05-30,USGS-09085000,Peak stage,Snowmelt,8.0,
nwisco.01.98403299,1984-05-23,USGS-09085000,"Stable, high stage",Snowmelt,8.0,
nwisco.01.98301688,1983-02-03,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98403318,1984-09-06,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.98301692,1983-03-02,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98301693,1983-03-10,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98301716,1983-08-18,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98403321,1984-09-28,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.00301908,2003-04-23,USGS-09073300,"Stable, normal stage",Snowmelt,8.0,
nwisco.01.98301721,1983-09-19,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98403290,1984-03-29,USGS-09085000,Rising stage,Routine sample,8.0,
nwisco.01.00300090,2002-10-10,USGS-09085000,"Stable, low stage",Routine sample,8.0,
nwisco.01.00204202,2002-07-29,USGS-09073300,"Stable, low stage",Drought,8.0,
nwisco.01.98403283,1984-02-10,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98403268,1983-11-10,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98403276,1983-12-30,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.99802218,1998-05-12,USGS-09081000,"Stable, normal stage",Snowmelt,8.0,
nwisco.01.98201890,1981-10-16,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.99802217,1998-05-12,USGS-09085000,"Stable, normal stage",Snowmelt,8.1,
nwisco.01.98201917,1982-04-23,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00105740,2001-08-28,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98201926,1982-06-18,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00004470,2000-08-21,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98403291,1984-04-05,USGS-09085000,Rising stage,Routine sample,8.1,
nwisco.01.99803523,1998-08-19,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98301720,1983-09-16,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98403320,1984-09-20,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98301700,1983-04-28,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98301699,1983-04-22,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.98301690,1983-02-17,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.99803764,1998-09-03,USGS-391531106525200,"Stable, low stage",Routine sample,8.1,
nwisco.01.98301682,1982-12-22,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98403277,1984-01-04,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00002245,2000-05-10,USGS-09073300,"Stable, high stage",Snowmelt,8.2,
nwisco.01.98201935,1982-08-18,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00001260,1999-12-22,USGS-392110107011300,"Stable, normal stage",Under ice cover,8.2,
nwisco.01.98201938,1982-09-10,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.99903651,1999-08-19,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.99704020,1997-09-10,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.00003239,2000-06-27,USGS-392110107011300,Falling stage,Snowmelt,8.2,
nwisco.01.98403262,1983-10-07,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00100286,2000-11-08,USGS-09081000,"Stable, low stage",Routine sample,8.2,
nwisco.01.00004472,2000-08-22,USGS-09081000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.00200922,2001-10-12,USGS-09085000,"Stable, low stage",Routine sample,8.2,
nwisco.01.00301910,2003-04-24,USGS-09085000,"Stable, normal stage",Snowmelt,8.2,
nwisco.01.98301717,1983-08-26,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98301689,1983-02-10,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98301687,1983-01-26,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98301686,1983-01-19,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98301683,1982-12-29,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.99800374,1997-10-21,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.98201922,1982-05-28,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98301707,1983-06-17,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98301706,1983-06-10,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.00105744,2001-08-30,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.98301696,1983-04-01,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.98301695,1983-03-23,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.98201893,1981-11-05,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.00204203,2002-07-29,USGS-09081000,"Stable, low stage",Drought,8.3,
nwisco.01.98301680,1982-12-10,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98301678,1982-11-24,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98403265,1983-10-25,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.99903649,1999-08-18,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.00202582,2002-04-25,USGS-09085000,Rising stage,Snowmelt,8.3,
nwisco.01.98201933,1982-08-05,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.00002098,2000-04-24,USGS-09081000,"Stable, normal stage",Snowmelt,8.3,
nwisco.01.00001966,2000-04-12,USGS-392110107011300,"Stable, normal stage",Snowmelt,8.3,
nwisco.01.98201934,1982-08-12,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98201888,1981-10-01,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.99803525,1998-08-19,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.00304229,2003-09-05,USGS-09085000,"Stable, low stage",Routine sample,8.4,
nwisco.01.00102115,2001-04-04,USGS-09085000,Rising stage,Snowmelt,8.4,
nwisco.01.00001579,2000-03-09,USGS-392110107011300,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98201939,1982-09-16,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.00100287,2000-11-08,USGS-09085000,"Stable, low stage",Routine sample,8.4,
nwisco.01.99703574,1997-08-20,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98301698,1983-04-13,USGS-09085000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.98201892,1981-10-29,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98301673,1982-10-21,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.98201891,1981-10-22,USGS-09085000,Not determined,Routine sample,8.4,
nwisco.01.99901532,1999-04-20,USGS-09081000,"Stable, normal stage",Routine sample,8.4,
nwisco.01.00204206,2002-07-30,USGS-09085000,"Stable, low stage",Drought,8.5,
nwisco.01.99801433,1998-03-12,USGS-391531106525200,"Stable, low stage",Routine sample,8.5,
nwisco.01.00202579,2002-04-24,USGS-09081000,Rising stage,Snowmelt,8.5,
nwisco.01.98201940,1982-09-24,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98201905,1982-01-29,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.99501565,1995-04-04,USGS-391531106525200,"Stable, normal stage",Routine sample,8.5,
nwisco.01.98301676,1982-11-09,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.98403264,1983-10-20,USGS-09085000,Not determined,Routine sample,8.5,
nwisco.01.99900295,1998-10-20,USGS-09085000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.98201907,1982-02-12,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.00001292,2000-02-16,USGS-392110107011300,"Stable, low stage",Routine sample,8.6,
nwisco.01.98201900,1981-12-24,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201901,1981-12-30,USGS-09085000,Not determined,Routine sample,8.6,
nwisco.01.98201914,1982-04-01,USGS-09085000,Not determined,Routine sample,8.7,